gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.038284,1050,1327104,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.253738,15,0.275595,-nan,-nan,0.322155,-nan,-nan
0.250028,15,0.274688,-nan,-nan,0.318479,-nan,-nan
0.253943,15,0.273848,-nan,-nan,0.322230,-nan,-nan
0.256362,15,0.274388,-nan,-nan,0.325608,-nan,-nan
0.253587,14,0.273602,-nan,-nan,0.325452,-nan,-nan
0.256001,12,0.274748,-nan,-nan,0.327295,-nan,-nan
0.258964,14,0.276193,-nan,-nan,0.329351,-nan,-nan
0.263940,15,0.274406,-nan,-nan,0.336863,-nan,-nan
0.252193,13,0.275457,-nan,-nan,0.324690,-nan,-nan
0.256348,14,0.273428,-nan,-nan,0.328442,-nan,-nan
0.263783,14,0.276723,-nan,-nan,0.341281,-nan,-nan
0.252610,14,0.279795,-nan,-nan,0.319339,-nan,-nan
0.260831,15,0.275010,-nan,-nan,0.328316,-nan,-nan
0.243714,14,0.276502,-nan,-nan,0.311494,-nan,-nan
0.254994,14,0.276793,-nan,-nan,0.321732,-nan,-nan
0.255727,15,0.274558,-nan,-nan,0.322474,-nan,-nan
0.248055,14,0.274901,-nan,-nan,0.315244,-nan,-nan
0.255138,14,0.275234,-nan,-nan,0.321874,-nan,-nan
0.262128,14,0.273453,-nan,-nan,0.332912,-nan,-nan
0.262799,13,0.275165,-nan,-nan,0.329923,-nan,-nan
