gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,173.480009,1279,2211840,13,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.435358,14,0.438974,-nan,-nan,0.529220,-nan,-nan
0.403060,14,0.437194,-nan,-nan,0.497742,-nan,-nan
0.414702,14,0.435508,-nan,-nan,0.506910,-nan,-nan
0.416259,14,0.437297,-nan,-nan,0.506560,-nan,-nan
0.416560,14,0.435056,-nan,-nan,0.506645,-nan,-nan
0.419296,14,0.543533,-nan,-nan,0.513127,-nan,-nan
0.430616,15,0.438291,-nan,-nan,0.521239,-nan,-nan
0.431338,14,0.435184,-nan,-nan,0.523130,-nan,-nan
0.420790,14,0.512830,-nan,-nan,0.511967,-nan,-nan
0.436807,14,0.437303,-nan,-nan,0.526892,-nan,-nan
0.433018,15,0.437380,-nan,-nan,0.523972,-nan,-nan
0.432746,15,0.436715,-nan,-nan,0.523489,-nan,-nan
0.422251,15,0.436456,-nan,-nan,0.514363,-nan,-nan
0.425059,15,0.440673,-nan,-nan,0.518052,-nan,-nan
0.422455,15,0.433183,-nan,-nan,0.514432,-nan,-nan
0.416139,14,0.438263,-nan,-nan,0.516373,-nan,-nan
0.431776,15,0.434406,-nan,-nan,0.522598,-nan,-nan
0.437694,15,0.437241,-nan,-nan,0.530460,-nan,-nan
0.427035,15,0.434704,-nan,-nan,0.518384,-nan,-nan
0.422448,15,0.436843,-nan,-nan,0.515436,-nan,-nan
