gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,170.939585,1130,1769472,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.327876,14,0.373053,-nan,-nan,0.419784,-nan,-nan
0.336047,15,0.369677,-nan,-nan,0.429403,-nan,-nan
0.341017,14,0.367893,-nan,-nan,0.432738,-nan,-nan
0.341580,15,0.365053,-nan,-nan,0.434440,-nan,-nan
0.331357,14,0.367231,-nan,-nan,0.427108,-nan,-nan
0.323727,13,0.365931,-nan,-nan,0.413298,-nan,-nan
0.344695,15,0.365498,-nan,-nan,0.433848,-nan,-nan
0.346275,15,0.368296,-nan,-nan,0.436667,-nan,-nan
0.329482,13,0.366869,-nan,-nan,0.418743,-nan,-nan
0.338860,15,0.368039,-nan,-nan,0.427647,-nan,-nan
0.347894,14,0.365544,-nan,-nan,0.438558,-nan,-nan
0.334451,14,0.367063,-nan,-nan,0.423506,-nan,-nan
0.339636,15,0.366252,-nan,-nan,0.432438,-nan,-nan
0.325572,14,0.368359,-nan,-nan,0.415859,-nan,-nan
0.336227,15,0.368058,-nan,-nan,0.425698,-nan,-nan
0.336524,15,0.367643,-nan,-nan,0.426757,-nan,-nan
0.326108,15,0.365321,-nan,-nan,0.416419,-nan,-nan
0.329336,15,0.368220,-nan,-nan,0.418827,-nan,-nan
0.340318,13,0.367845,-nan,-nan,0.429720,-nan,-nan
0.329161,15,0.367633,-nan,-nan,0.419407,-nan,-nan
