gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,173.674925,1280,2211840,12,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.423876,14,0.426946,-nan,-nan,0.508645,-nan,-nan
0.417619,14,0.429783,-nan,-nan,0.501236,-nan,-nan
0.408045,13,0.428222,-nan,-nan,0.495025,-nan,-nan
0.423134,14,0.427619,-nan,-nan,0.506328,-nan,-nan
0.424507,15,0.428036,-nan,-nan,0.507726,-nan,-nan
0.426471,15,0.430696,-nan,-nan,0.509684,-nan,-nan
0.397431,14,0.427249,-nan,-nan,0.481416,-nan,-nan
0.425332,15,0.430063,-nan,-nan,0.508006,-nan,-nan
0.402667,14,0.426617,-nan,-nan,0.485330,-nan,-nan
0.424105,14,0.427243,-nan,-nan,0.508701,-nan,-nan
0.429545,15,0.428849,-nan,-nan,0.513001,-nan,-nan
0.398686,13,0.431093,-nan,-nan,0.483229,-nan,-nan
0.423999,15,0.429427,-nan,-nan,0.507304,-nan,-nan
0.427418,15,0.429724,-nan,-nan,0.510100,-nan,-nan
0.422784,15,0.426392,-nan,-nan,0.505994,-nan,-nan
0.429184,14,0.427335,-nan,-nan,0.512887,-nan,-nan
0.396674,13,0.428587,-nan,-nan,0.480028,-nan,-nan
0.410124,14,0.428888,-nan,-nan,0.494719,-nan,-nan
0.434574,15,0.428312,-nan,-nan,0.519247,-nan,-nan
0.407470,14,0.428874,-nan,-nan,0.492055,-nan,-nan
