gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,175.349964,1251,2211840,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.446229,14,0.462658,-nan,-nan,0.557744,-nan,-nan
0.438444,11,0.459282,-nan,-nan,0.548721,-nan,-nan
0.452415,14,0.457859,-nan,-nan,0.567035,-nan,-nan
0.433376,13,0.547464,-nan,-nan,0.544921,-nan,-nan
0.439640,15,0.461555,-nan,-nan,0.554360,-nan,-nan
0.435025,12,0.454096,-nan,-nan,0.549063,-nan,-nan
0.436636,14,0.454663,-nan,-nan,0.550980,-nan,-nan
0.441559,13,0.460717,-nan,-nan,0.553766,-nan,-nan
0.423483,14,0.529987,-nan,-nan,0.534896,-nan,-nan
0.431688,13,0.460807,-nan,-nan,0.543567,-nan,-nan
0.420726,14,0.454109,-nan,-nan,0.531408,-nan,-nan
0.424666,14,0.460568,-nan,-nan,0.535482,-nan,-nan
0.417708,13,0.457655,-nan,-nan,0.529115,-nan,-nan
0.464156,15,0.459098,-nan,-nan,0.575579,-nan,-nan
0.434689,14,0.455647,-nan,-nan,0.546596,-nan,-nan
0.450242,14,0.460672,-nan,-nan,0.566784,-nan,-nan
0.430675,15,0.456065,-nan,-nan,0.542770,-nan,-nan
0.440239,14,0.460379,-nan,-nan,0.555988,-nan,-nan
0.454820,11,0.460590,-nan,-nan,0.564996,-nan,-nan
0.440982,11,0.459084,-nan,-nan,0.551108,-nan,-nan
