gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,172.159953,550,221184,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.042420,14,0.069658,-nan,-nan,0.055415,-nan,-nan
0.041975,13,0.046128,-nan,-nan,0.055380,-nan,-nan
0.045154,14,0.045843,-nan,-nan,0.056547,-nan,-nan
0.039994,14,0.045974,-nan,-nan,0.055220,-nan,-nan
0.044072,14,0.046127,-nan,-nan,0.055495,-nan,-nan
0.043107,14,0.045558,-nan,-nan,0.054517,-nan,-nan
0.041481,14,0.045912,-nan,-nan,0.053970,-nan,-nan
0.044069,14,0.045806,-nan,-nan,0.055434,-nan,-nan
0.042365,14,0.046828,-nan,-nan,0.053780,-nan,-nan
0.043537,14,0.046200,-nan,-nan,0.054902,-nan,-nan
0.044022,10,0.045957,-nan,-nan,0.055146,-nan,-nan
0.045034,11,0.045708,-nan,-nan,0.056240,-nan,-nan
0.046014,10,0.045894,-nan,-nan,0.057177,-nan,-nan
0.044898,14,0.045657,-nan,-nan,0.057115,-nan,-nan
0.044745,14,0.045857,-nan,-nan,0.055890,-nan,-nan
0.046489,14,0.045741,-nan,-nan,0.057645,-nan,-nan
0.045191,14,0.045704,-nan,-nan,0.056347,-nan,-nan
0.042323,13,0.045690,-nan,-nan,0.054564,-nan,-nan
0.049902,14,0.045781,-nan,-nan,0.061055,-nan,-nan
0.046455,13,0.045859,-nan,-nan,0.057610,-nan,-nan
