gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.367766,1274,2211840,14,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.418977,14,0.455435,-nan,-nan,0.516811,-nan,-nan
0.426005,14,0.444795,-nan,-nan,0.523774,-nan,-nan
0.446800,14,0.443590,-nan,-nan,0.544438,-nan,-nan
0.420864,13,0.441219,-nan,-nan,0.518754,-nan,-nan
0.436626,14,0.443143,-nan,-nan,0.539013,-nan,-nan
0.413132,13,0.443865,-nan,-nan,0.510999,-nan,-nan
0.439890,14,0.442657,-nan,-nan,0.546990,-nan,-nan
0.430460,13,0.445831,-nan,-nan,0.529730,-nan,-nan
0.437160,14,0.442334,-nan,-nan,0.535025,-nan,-nan
0.436664,14,0.445284,-nan,-nan,0.534197,-nan,-nan
0.460936,14,0.443845,-nan,-nan,0.558867,-nan,-nan
0.440109,13,0.444979,-nan,-nan,0.537823,-nan,-nan
0.437690,14,0.517599,-nan,-nan,0.535642,-nan,-nan
0.433721,13,0.442741,-nan,-nan,0.531200,-nan,-nan
0.432812,13,0.441407,-nan,-nan,0.529661,-nan,-nan
0.428669,12,0.441544,-nan,-nan,0.525426,-nan,-nan
0.410914,14,0.442323,-nan,-nan,0.507760,-nan,-nan
0.412688,12,0.442761,-nan,-nan,0.511039,-nan,-nan
0.417107,13,0.444644,-nan,-nan,0.514790,-nan,-nan
0.452542,13,0.442436,-nan,-nan,0.550198,-nan,-nan
