gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.249179,1300,2211840,1,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.401344,14,0.358978,-nan,-nan,0.408778,-nan,-nan
0.402048,14,0.354336,-nan,-nan,0.409499,-nan,-nan
0.402652,13,0.352849,-nan,-nan,0.409895,-nan,-nan
0.418236,13,0.348909,-nan,-nan,0.425556,-nan,-nan
0.388388,13,0.354625,-nan,-nan,0.395806,-nan,-nan
0.409508,14,0.348532,-nan,-nan,0.416985,-nan,-nan
0.403147,14,0.348464,-nan,-nan,0.410574,-nan,-nan
0.402675,14,0.348447,-nan,-nan,0.410100,-nan,-nan
0.402567,14,0.349119,-nan,-nan,0.409989,-nan,-nan
0.405862,14,0.348686,-nan,-nan,0.413327,-nan,-nan
0.405905,14,0.348004,-nan,-nan,0.413352,-nan,-nan
0.402629,14,0.349407,-nan,-nan,0.410047,-nan,-nan
0.402720,14,0.349715,-nan,-nan,0.410168,-nan,-nan
0.409777,13,0.348736,-nan,-nan,0.419347,-nan,-nan
0.397056,13,0.349874,-nan,-nan,0.404061,-nan,-nan
0.407563,14,0.350317,-nan,-nan,0.415103,-nan,-nan
0.406037,14,0.350124,-nan,-nan,0.413480,-nan,-nan
0.395529,14,0.349601,-nan,-nan,0.402937,-nan,-nan
0.398360,14,0.349461,-nan,-nan,0.405785,-nan,-nan
0.403089,14,0.348175,-nan,-nan,0.410524,-nan,-nan
