gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,167.502529,1270,2211840,4,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.391515,14,0.372191,-nan,-nan,0.419564,-nan,-nan
0.392312,14,0.371726,-nan,-nan,0.420857,-nan,-nan
0.410828,14,0.372259,-nan,-nan,0.438840,-nan,-nan
0.412216,15,0.372209,-nan,-nan,0.440263,-nan,-nan
0.401527,13,0.371070,-nan,-nan,0.433267,-nan,-nan
0.408226,14,0.369634,-nan,-nan,0.435850,-nan,-nan
0.408262,15,0.370451,-nan,-nan,0.438100,-nan,-nan
0.398504,14,0.371195,-nan,-nan,0.426115,-nan,-nan
0.397925,14,0.372805,-nan,-nan,0.425534,-nan,-nan
0.403127,14,0.373180,-nan,-nan,0.430740,-nan,-nan
0.392659,14,0.372253,-nan,-nan,0.421848,-nan,-nan
0.391342,14,0.373329,-nan,-nan,0.418988,-nan,-nan
0.395548,13,0.370817,-nan,-nan,0.423789,-nan,-nan
0.404529,14,0.370315,-nan,-nan,0.432562,-nan,-nan
0.397211,14,0.371665,-nan,-nan,0.425898,-nan,-nan
0.406992,15,0.370049,-nan,-nan,0.435080,-nan,-nan
0.395155,14,0.371644,-nan,-nan,0.423229,-nan,-nan
0.385724,14,0.371782,-nan,-nan,0.414549,-nan,-nan
0.410366,15,0.369298,-nan,-nan,0.439264,-nan,-nan
0.386847,14,0.370592,-nan,-nan,0.415196,-nan,-nan
