gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,173.778825,1276,2211840,10,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.402659,13,0.415727,-nan,-nan,0.471552,-nan,-nan
0.468231,13,0.415598,-nan,-nan,0.537179,-nan,-nan
0.406116,14,0.412655,-nan,-nan,0.474983,-nan,-nan
0.429733,13,0.413960,-nan,-nan,0.501204,-nan,-nan
0.407010,14,0.415461,-nan,-nan,0.477680,-nan,-nan
0.395611,12,0.413882,-nan,-nan,0.466027,-nan,-nan
0.413578,13,0.417846,-nan,-nan,0.484378,-nan,-nan
0.430649,13,0.414602,-nan,-nan,0.501385,-nan,-nan
0.414227,12,0.415357,-nan,-nan,0.484632,-nan,-nan
0.417042,14,0.415043,-nan,-nan,0.487575,-nan,-nan
0.418596,14,0.415804,-nan,-nan,0.490484,-nan,-nan
0.411828,14,0.417234,-nan,-nan,0.481553,-nan,-nan
0.420512,14,0.413547,-nan,-nan,0.499103,-nan,-nan
0.416489,15,0.414750,-nan,-nan,0.487031,-nan,-nan
0.404693,14,0.415180,-nan,-nan,0.475170,-nan,-nan
0.426410,15,0.414484,-nan,-nan,0.497029,-nan,-nan
0.409290,13,0.412561,-nan,-nan,0.479841,-nan,-nan
0.404538,13,0.413264,-nan,-nan,0.475005,-nan,-nan
0.400146,11,0.415324,-nan,-nan,0.470614,-nan,-nan
0.415757,14,0.412687,-nan,-nan,0.489038,-nan,-nan
