gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,174.557154,1280,2211840,9,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.399725,14,0.408416,-nan,-nan,0.462447,-nan,-nan
0.400131,14,0.407620,-nan,-nan,0.463002,-nan,-nan
0.412776,14,0.409249,-nan,-nan,0.475806,-nan,-nan
0.407312,14,0.407659,-nan,-nan,0.470196,-nan,-nan
0.396604,13,0.407095,-nan,-nan,0.459298,-nan,-nan
0.407219,14,0.407305,-nan,-nan,0.469708,-nan,-nan
0.414555,15,0.406567,-nan,-nan,0.477020,-nan,-nan
0.405511,14,0.407345,-nan,-nan,0.467998,-nan,-nan
0.402197,14,0.405818,-nan,-nan,0.464679,-nan,-nan
0.433784,15,0.407633,-nan,-nan,0.496345,-nan,-nan
0.410983,12,0.407127,-nan,-nan,0.473456,-nan,-nan
0.403639,13,0.410043,-nan,-nan,0.467434,-nan,-nan
0.407957,14,0.405340,-nan,-nan,0.471496,-nan,-nan
0.391112,13,0.407303,-nan,-nan,0.455423,-nan,-nan
0.395236,14,0.405346,-nan,-nan,0.458697,-nan,-nan
0.409879,14,0.407530,-nan,-nan,0.473070,-nan,-nan
0.421196,15,0.404912,-nan,-nan,0.484754,-nan,-nan
0.404177,14,0.407187,-nan,-nan,0.467713,-nan,-nan
0.405977,13,0.407102,-nan,-nan,0.469511,-nan,-nan
0.406007,14,0.408034,-nan,-nan,0.469416,-nan,-nan
