gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,170.938729,810,663552,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.130194,14,0.138266,-nan,-nan,0.163631,-nan,-nan
0.126530,15,0.137601,-nan,-nan,0.160585,-nan,-nan
0.130768,15,0.137365,-nan,-nan,0.164825,-nan,-nan
0.124872,14,0.136843,-nan,-nan,0.158847,-nan,-nan
0.129779,14,0.137132,-nan,-nan,0.163759,-nan,-nan
0.126381,14,0.137301,-nan,-nan,0.160361,-nan,-nan
0.120408,14,0.137174,-nan,-nan,0.155944,-nan,-nan
0.126445,15,0.137803,-nan,-nan,0.162117,-nan,-nan
0.118928,14,0.137905,-nan,-nan,0.154573,-nan,-nan
0.124419,14,0.137782,-nan,-nan,0.160048,-nan,-nan
0.124912,14,0.138008,-nan,-nan,0.163241,-nan,-nan
0.126351,11,0.137940,-nan,-nan,0.161019,-nan,-nan
0.125680,12,0.138218,-nan,-nan,0.160114,-nan,-nan
0.128915,14,0.137998,-nan,-nan,0.163282,-nan,-nan
0.129524,14,0.137845,-nan,-nan,0.165286,-nan,-nan
0.124428,14,0.137102,-nan,-nan,0.160081,-nan,-nan
0.131968,14,0.136898,-nan,-nan,0.170335,-nan,-nan
0.121207,10,0.138051,-nan,-nan,0.156048,-nan,-nan
0.128848,14,0.137005,-nan,-nan,0.162992,-nan,-nan
0.121140,13,0.140158,-nan,-nan,0.155292,-nan,-nan
