gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,148.634243,1198,1990656,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.382891,13,0.415289,-nan,-nan,0.483635,-nan,-nan
0.387964,14,0.415131,-nan,-nan,0.487687,-nan,-nan
0.384442,13,0.413895,-nan,-nan,0.487010,-nan,-nan
0.370165,13,0.415511,-nan,-nan,0.469911,-nan,-nan
0.393286,13,0.410717,-nan,-nan,0.493232,-nan,-nan
0.368318,13,0.414875,-nan,-nan,0.470397,-nan,-nan
0.380489,14,0.412062,-nan,-nan,0.488946,-nan,-nan
0.387085,14,0.413202,-nan,-nan,0.492823,-nan,-nan
0.385018,14,0.414387,-nan,-nan,0.487202,-nan,-nan
0.394223,14,0.411946,-nan,-nan,0.500494,-nan,-nan
0.383417,13,0.412836,-nan,-nan,0.487467,-nan,-nan
0.388980,14,0.412673,-nan,-nan,0.500573,-nan,-nan
0.380947,13,0.412791,-nan,-nan,0.490956,-nan,-nan
0.382561,13,0.414169,-nan,-nan,0.483676,-nan,-nan
0.393211,13,0.414624,-nan,-nan,0.504513,-nan,-nan
0.389447,11,0.415930,-nan,-nan,0.499880,-nan,-nan
0.392921,12,0.410589,-nan,-nan,0.506311,-nan,-nan
0.389671,12,0.414411,-nan,-nan,0.493358,-nan,-nan
0.434671,12,0.416688,-nan,-nan,0.544862,-nan,-nan
0.370669,14,0.410593,-nan,-nan,0.473926,-nan,-nan
