gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.114406,1251,2211840,11,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.417529,13,0.423323,-nan,-nan,0.496149,-nan,-nan
0.433335,15,0.421871,-nan,-nan,0.511231,-nan,-nan
0.408786,13,0.420382,-nan,-nan,0.486320,-nan,-nan
0.410974,14,0.420993,-nan,-nan,0.488818,-nan,-nan
0.447227,15,0.420747,-nan,-nan,0.528499,-nan,-nan
0.404385,13,0.422210,-nan,-nan,0.480158,-nan,-nan
0.432795,14,0.421000,-nan,-nan,0.509128,-nan,-nan
0.407191,14,0.424679,-nan,-nan,0.485389,-nan,-nan
0.427536,15,0.421790,-nan,-nan,0.503870,-nan,-nan
0.434493,15,0.421249,-nan,-nan,0.510285,-nan,-nan
0.428897,15,0.422878,-nan,-nan,0.504694,-nan,-nan
0.413480,14,0.420348,-nan,-nan,0.489225,-nan,-nan
0.395233,13,0.419796,-nan,-nan,0.471519,-nan,-nan
0.402577,14,0.420825,-nan,-nan,0.478333,-nan,-nan
0.403987,13,0.419045,-nan,-nan,0.479772,-nan,-nan
0.429688,15,0.421093,-nan,-nan,0.506355,-nan,-nan
0.415689,14,0.423244,-nan,-nan,0.495272,-nan,-nan
0.403957,14,0.420409,-nan,-nan,0.483091,-nan,-nan
0.431919,15,0.421834,-nan,-nan,0.511346,-nan,-nan
0.431203,15,0.421318,-nan,-nan,0.509380,-nan,-nan
