gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,174.377015,1290,2211840,15,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.418946,13,0.466025,-nan,-nan,0.522243,-nan,-nan
0.424298,14,0.451497,-nan,-nan,0.528669,-nan,-nan
0.435341,13,0.451161,-nan,-nan,0.539986,-nan,-nan
0.419079,13,0.449342,-nan,-nan,0.523931,-nan,-nan
0.450250,11,0.448650,-nan,-nan,0.555004,-nan,-nan
0.446377,11,0.449220,-nan,-nan,0.556029,-nan,-nan
0.435275,12,0.448076,-nan,-nan,0.538820,-nan,-nan
0.434999,12,0.447349,-nan,-nan,0.542070,-nan,-nan
0.436148,13,0.451032,-nan,-nan,0.540573,-nan,-nan
0.426986,13,0.516747,-nan,-nan,0.532430,-nan,-nan
0.423074,13,0.449649,-nan,-nan,0.527779,-nan,-nan
0.416416,13,0.449137,-nan,-nan,0.521322,-nan,-nan
0.435957,13,0.451974,-nan,-nan,0.543239,-nan,-nan
0.447852,14,0.451790,-nan,-nan,0.565489,-nan,-nan
0.434846,13,0.452366,-nan,-nan,0.541891,-nan,-nan
0.430293,13,0.448960,-nan,-nan,0.533571,-nan,-nan
0.432855,12,0.450786,-nan,-nan,0.538956,-nan,-nan
0.430016,13,0.504007,-nan,-nan,0.534653,-nan,-nan
0.420373,12,0.448689,-nan,-nan,0.524760,-nan,-nan
0.417071,13,0.452262,-nan,-nan,0.520883,-nan,-nan
