gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.078264,1280,2211840,8,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.400268,14,0.401561,-nan,-nan,0.455769,-nan,-nan
0.412473,14,0.399785,-nan,-nan,0.470412,-nan,-nan
0.404353,13,0.399455,-nan,-nan,0.461459,-nan,-nan
0.411244,14,0.399929,-nan,-nan,0.467298,-nan,-nan
0.405733,14,0.398823,-nan,-nan,0.462127,-nan,-nan
0.410493,14,0.401115,-nan,-nan,0.466284,-nan,-nan
0.389719,13,0.398947,-nan,-nan,0.445513,-nan,-nan
0.401102,14,0.399904,-nan,-nan,0.456884,-nan,-nan
0.402508,14,0.401727,-nan,-nan,0.458307,-nan,-nan
0.399622,13,0.401005,-nan,-nan,0.455458,-nan,-nan
0.399056,14,0.399093,-nan,-nan,0.454904,-nan,-nan
0.398712,13,0.399391,-nan,-nan,0.459008,-nan,-nan
0.412610,14,0.399407,-nan,-nan,0.468431,-nan,-nan
0.405582,14,0.397934,-nan,-nan,0.462055,-nan,-nan
0.411533,14,0.399144,-nan,-nan,0.467357,-nan,-nan
0.410073,14,0.399937,-nan,-nan,0.465889,-nan,-nan
0.404754,14,0.399503,-nan,-nan,0.460567,-nan,-nan
0.400001,14,0.401033,-nan,-nan,0.455819,-nan,-nan
0.395361,13,0.403325,-nan,-nan,0.459118,-nan,-nan
0.395317,13,0.398141,-nan,-nan,0.450406,-nan,-nan
