gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.402106,1280,2211840,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.428915,14,0.459991,-nan,-nan,0.541227,-nan,-nan
0.416362,14,0.457678,-nan,-nan,0.529189,-nan,-nan
0.426780,14,0.463764,-nan,-nan,0.541870,-nan,-nan
0.435011,15,0.457693,-nan,-nan,0.549356,-nan,-nan
0.443782,15,0.459809,-nan,-nan,0.554898,-nan,-nan
0.411055,14,0.454931,-nan,-nan,0.522383,-nan,-nan
0.430898,15,0.458059,-nan,-nan,0.541890,-nan,-nan
0.432655,15,0.458910,-nan,-nan,0.544618,-nan,-nan
0.433916,15,0.458724,-nan,-nan,0.544782,-nan,-nan
0.423729,14,0.459457,-nan,-nan,0.534505,-nan,-nan
0.444546,15,0.456849,-nan,-nan,0.557470,-nan,-nan
0.438739,15,0.459902,-nan,-nan,0.549094,-nan,-nan
0.423321,14,0.462802,-nan,-nan,0.534277,-nan,-nan
0.431558,11,0.461623,-nan,-nan,0.542633,-nan,-nan
0.436085,12,0.457892,-nan,-nan,0.546298,-nan,-nan
0.441638,13,0.459696,-nan,-nan,0.553602,-nan,-nan
0.434895,14,0.462992,-nan,-nan,0.546577,-nan,-nan
0.423939,12,0.459356,-nan,-nan,0.537573,-nan,-nan
0.439683,13,0.460590,-nan,-nan,0.551430,-nan,-nan
0.447525,14,0.459630,-nan,-nan,0.560352,-nan,-nan
