gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,172.139121,973,1105920,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.210696,14,0.234940,-nan,-nan,0.268945,-nan,-nan
0.200807,13,0.230130,-nan,-nan,0.258887,-nan,-nan
0.210382,14,0.231724,-nan,-nan,0.267987,-nan,-nan
0.214834,15,0.229145,-nan,-nan,0.273407,-nan,-nan
0.209311,14,0.229282,-nan,-nan,0.267248,-nan,-nan
0.205263,14,0.227602,-nan,-nan,0.261077,-nan,-nan
0.198435,13,0.228885,-nan,-nan,0.255623,-nan,-nan
0.211386,12,0.229916,-nan,-nan,0.271362,-nan,-nan
0.207050,12,0.229310,-nan,-nan,0.263590,-nan,-nan
0.213207,14,0.228951,-nan,-nan,0.272572,-nan,-nan
0.222432,14,0.228989,-nan,-nan,0.288376,-nan,-nan
0.218149,14,0.229261,-nan,-nan,0.275627,-nan,-nan
0.209936,14,0.228715,-nan,-nan,0.266322,-nan,-nan
0.201502,14,0.228796,-nan,-nan,0.258802,-nan,-nan
0.218043,15,0.231376,-nan,-nan,0.274370,-nan,-nan
0.197370,13,0.228775,-nan,-nan,0.253690,-nan,-nan
0.208307,14,0.228713,-nan,-nan,0.264695,-nan,-nan
0.210720,14,0.228607,-nan,-nan,0.267042,-nan,-nan
0.195877,13,0.230769,-nan,-nan,0.252131,-nan,-nan
0.214345,15,0.229819,-nan,-nan,0.270720,-nan,-nan
