gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,166.888142,1285,2211840,3,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.399366,14,0.362851,-nan,-nan,0.420430,-nan,-nan
0.412296,14,0.364853,-nan,-nan,0.435071,-nan,-nan
0.397105,14,0.363351,-nan,-nan,0.418182,-nan,-nan
0.391551,14,0.365224,-nan,-nan,0.412643,-nan,-nan
0.410501,13,0.362601,-nan,-nan,0.432115,-nan,-nan
0.411711,14,0.364902,-nan,-nan,0.432895,-nan,-nan
0.404746,14,0.362370,-nan,-nan,0.425933,-nan,-nan
0.399058,14,0.365141,-nan,-nan,0.420113,-nan,-nan
0.393892,14,0.365993,-nan,-nan,0.414946,-nan,-nan
0.399867,14,0.363457,-nan,-nan,0.420928,-nan,-nan
0.398921,14,0.366861,-nan,-nan,0.419978,-nan,-nan
0.402895,14,0.366424,-nan,-nan,0.423961,-nan,-nan
0.402852,13,0.363889,-nan,-nan,0.423999,-nan,-nan
0.414317,14,0.364430,-nan,-nan,0.436316,-nan,-nan
0.411248,13,0.363535,-nan,-nan,0.433510,-nan,-nan
0.410542,14,0.363930,-nan,-nan,0.431628,-nan,-nan
0.392248,14,0.363287,-nan,-nan,0.413309,-nan,-nan
0.393251,14,0.364764,-nan,-nan,0.414334,-nan,-nan
0.394885,14,0.363110,-nan,-nan,0.415942,-nan,-nan
0.413664,15,0.364062,-nan,-nan,0.435552,-nan,-nan
