gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,174.832939,969,1769472,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.223228,15,0.373310,-nan,-nan,0.401982,-nan,-nan
0.228432,15,0.370328,-nan,-nan,0.405997,-nan,-nan
0.231793,15,0.371400,-nan,-nan,0.409634,-nan,-nan
0.230711,15,0.374383,-nan,-nan,0.408313,-nan,-nan
0.225555,15,0.370542,-nan,-nan,0.403324,-nan,-nan
0.219700,14,0.370512,-nan,-nan,0.403944,-nan,-nan
0.221228,15,0.371037,-nan,-nan,0.400429,-nan,-nan
0.241281,16,0.371063,-nan,-nan,0.423086,-nan,-nan
0.241614,14,0.371428,-nan,-nan,0.420655,-nan,-nan
0.221426,14,0.371276,-nan,-nan,0.397765,-nan,-nan
0.222960,13,0.370866,-nan,-nan,0.399330,-nan,-nan
0.228135,15,0.370670,-nan,-nan,0.405289,-nan,-nan
0.219655,14,0.372472,-nan,-nan,0.396007,-nan,-nan
0.235631,16,0.370311,-nan,-nan,0.412013,-nan,-nan
0.216408,14,0.371505,-nan,-nan,0.392701,-nan,-nan
0.224912,14,0.371579,-nan,-nan,0.401223,-nan,-nan
0.232806,15,0.370555,-nan,-nan,0.411258,-nan,-nan
0.225161,15,0.372951,-nan,-nan,0.402392,-nan,-nan
0.215322,14,0.370338,-nan,-nan,0.392359,-nan,-nan
0.232298,13,0.370649,-nan,-nan,0.410031,-nan,-nan
