gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,175.774857,410,221184,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.032279,17,0.047843,-nan,-nan,0.054446,-nan,-nan
0.031584,18,0.047304,-nan,-nan,0.053751,-nan,-nan
0.028023,17,0.046353,-nan,-nan,0.050198,-nan,-nan
0.030741,19,0.046186,-nan,-nan,0.052927,-nan,-nan
0.030178,17,0.046395,-nan,-nan,0.052342,-nan,-nan
0.030384,17,0.046405,-nan,-nan,0.053099,-nan,-nan
0.034492,17,0.046267,-nan,-nan,0.056649,-nan,-nan
0.027372,16,0.046179,-nan,-nan,0.050600,-nan,-nan
0.035040,15,0.046498,-nan,-nan,0.057208,-nan,-nan
0.034685,18,0.046361,-nan,-nan,0.056858,-nan,-nan
0.026672,18,0.046350,-nan,-nan,0.052120,-nan,-nan
0.034240,17,0.046413,-nan,-nan,0.056410,-nan,-nan
0.030636,17,0.046543,-nan,-nan,0.053604,-nan,-nan
0.027594,16,0.046495,-nan,-nan,0.050505,-nan,-nan
0.032689,17,0.046157,-nan,-nan,0.054853,-nan,-nan
0.031507,17,0.046487,-nan,-nan,0.053677,-nan,-nan
0.026966,18,0.046370,-nan,-nan,0.050695,-nan,-nan
0.027388,15,0.046015,-nan,-nan,0.050280,-nan,-nan
0.031021,16,0.046472,-nan,-nan,0.053241,-nan,-nan
0.027039,17,0.046159,-nan,-nan,0.050997,-nan,-nan
