gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,177.134906,1091,2211840,6,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.267620,14,0.324473,-nan,-nan,0.351040,-nan,-nan
0.272988,14,0.321975,-nan,-nan,0.356551,-nan,-nan
0.283361,15,0.324749,-nan,-nan,0.366273,-nan,-nan
0.284574,13,0.324381,-nan,-nan,0.370358,-nan,-nan
0.271136,14,0.323798,-nan,-nan,0.354595,-nan,-nan
0.286857,14,0.320957,-nan,-nan,0.372419,-nan,-nan
0.267756,13,0.321801,-nan,-nan,0.352627,-nan,-nan
0.275745,15,0.322292,-nan,-nan,0.359501,-nan,-nan
0.279302,14,0.324069,-nan,-nan,0.362975,-nan,-nan
0.284186,14,0.322054,-nan,-nan,0.368447,-nan,-nan
0.263373,14,0.325249,-nan,-nan,0.347659,-nan,-nan
0.267726,14,0.321749,-nan,-nan,0.351937,-nan,-nan
0.275732,15,0.321871,-nan,-nan,0.359496,-nan,-nan
0.271000,13,0.322694,-nan,-nan,0.353835,-nan,-nan
0.278996,13,0.322121,-nan,-nan,0.361848,-nan,-nan
0.283477,13,0.325238,-nan,-nan,0.370706,-nan,-nan
0.277030,13,0.324755,-nan,-nan,0.360319,-nan,-nan
0.272939,14,0.323503,-nan,-nan,0.356006,-nan,-nan
0.292979,13,0.322626,-nan,-nan,0.378582,-nan,-nan
0.283699,15,0.322232,-nan,-nan,0.366593,-nan,-nan
