gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.560609,1030,2211840,11,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.277897,16,0.395158,-nan,-nan,0.430045,-nan,-nan
0.277136,16,0.391555,-nan,-nan,0.429587,-nan,-nan
0.268198,16,0.392757,-nan,-nan,0.420637,-nan,-nan
0.265636,15,0.392269,-nan,-nan,0.417926,-nan,-nan
0.272954,16,0.391763,-nan,-nan,0.426709,-nan,-nan
0.275924,14,0.390737,-nan,-nan,0.433689,-nan,-nan
0.262523,15,0.391042,-nan,-nan,0.415574,-nan,-nan
0.264213,15,0.393664,-nan,-nan,0.418921,-nan,-nan
0.272142,16,0.392416,-nan,-nan,0.424864,-nan,-nan
0.274897,16,0.392392,-nan,-nan,0.427218,-nan,-nan
0.273830,16,0.391220,-nan,-nan,0.426122,-nan,-nan
0.271747,16,0.391266,-nan,-nan,0.423944,-nan,-nan
0.277470,15,0.391967,-nan,-nan,0.429820,-nan,-nan
0.270513,15,0.391669,-nan,-nan,0.423022,-nan,-nan
0.269679,16,0.392653,-nan,-nan,0.421972,-nan,-nan
0.275962,16,0.391170,-nan,-nan,0.429098,-nan,-nan
0.275896,16,0.392032,-nan,-nan,0.428465,-nan,-nan
0.276222,17,0.392365,-nan,-nan,0.428785,-nan,-nan
0.264438,13,0.391480,-nan,-nan,0.420946,-nan,-nan
0.273976,16,0.392447,-nan,-nan,0.426570,-nan,-nan
