gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,177.001184,1090,2211840,15,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.270862,13,0.450259,-nan,-nan,0.482524,-nan,-nan
0.277554,14,0.448106,-nan,-nan,0.485761,-nan,-nan
0.288712,15,0.447826,-nan,-nan,0.497563,-nan,-nan
0.289131,15,0.448054,-nan,-nan,0.496706,-nan,-nan
0.293377,15,0.449173,-nan,-nan,0.502195,-nan,-nan
0.287643,14,0.447049,-nan,-nan,0.496396,-nan,-nan
0.296610,15,0.447570,-nan,-nan,0.504807,-nan,-nan
0.282201,14,0.448119,-nan,-nan,0.493257,-nan,-nan
0.294960,15,0.447930,-nan,-nan,0.503764,-nan,-nan
0.274130,13,0.447872,-nan,-nan,0.487297,-nan,-nan
0.279970,14,0.448495,-nan,-nan,0.488858,-nan,-nan
0.293802,15,0.448821,-nan,-nan,0.502035,-nan,-nan
0.285636,14,0.449115,-nan,-nan,0.493806,-nan,-nan
0.290752,14,0.447323,-nan,-nan,0.498819,-nan,-nan
0.278205,14,0.448208,-nan,-nan,0.485655,-nan,-nan
0.277207,14,0.448430,-nan,-nan,0.485529,-nan,-nan
0.281893,14,0.448420,-nan,-nan,0.490623,-nan,-nan
0.285250,12,0.449249,-nan,-nan,0.500120,-nan,-nan
0.290038,15,0.449847,-nan,-nan,0.498139,-nan,-nan
0.293231,13,0.448198,-nan,-nan,0.502123,-nan,-nan
