gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,172.108260,673,663552,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.086383,14,0.141955,-nan,-nan,0.155486,-nan,-nan
0.078983,14,0.138373,-nan,-nan,0.148075,-nan,-nan
0.077839,13,0.138477,-nan,-nan,0.147174,-nan,-nan
0.085678,14,0.138947,-nan,-nan,0.160341,-nan,-nan
0.080098,9,0.138949,-nan,-nan,0.156013,-nan,-nan
0.087854,11,0.139316,-nan,-nan,0.155118,-nan,-nan
0.085936,13,0.139058,-nan,-nan,0.153670,-nan,-nan
0.086709,12,0.138768,-nan,-nan,0.154058,-nan,-nan
0.086418,13,0.139050,-nan,-nan,0.153817,-nan,-nan
0.087122,13,0.138844,-nan,-nan,0.154531,-nan,-nan
0.092831,12,0.138784,-nan,-nan,0.163817,-nan,-nan
0.083216,12,0.138113,-nan,-nan,0.151186,-nan,-nan
0.088397,13,0.139164,-nan,-nan,0.155843,-nan,-nan
0.087565,13,0.138464,-nan,-nan,0.154956,-nan,-nan
0.088832,14,0.138583,-nan,-nan,0.156314,-nan,-nan
0.089131,13,0.138453,-nan,-nan,0.156491,-nan,-nan
0.086461,15,0.138739,-nan,-nan,0.153597,-nan,-nan
0.082971,15,0.138200,-nan,-nan,0.151663,-nan,-nan
0.083789,14,0.137629,-nan,-nan,0.150588,-nan,-nan
0.087406,14,0.138555,-nan,-nan,0.154716,-nan,-nan
