gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,163.462254,1058,2211840,14,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.276567,15,0.437404,-nan,-nan,0.469834,-nan,-nan
0.267806,14,0.434086,-nan,-nan,0.461598,-nan,-nan
0.271913,14,0.435579,-nan,-nan,0.465778,-nan,-nan
0.260036,13,0.434943,-nan,-nan,0.454924,-nan,-nan
0.263484,13,0.434262,-nan,-nan,0.457427,-nan,-nan
0.263504,13,0.434846,-nan,-nan,0.457428,-nan,-nan
0.275825,13,0.433282,-nan,-nan,0.472868,-nan,-nan
0.284928,16,0.433961,-nan,-nan,0.478264,-nan,-nan
0.287214,16,0.433833,-nan,-nan,0.484460,-nan,-nan
0.278742,16,0.435067,-nan,-nan,0.472012,-nan,-nan
0.274908,15,0.434822,-nan,-nan,0.468799,-nan,-nan
0.268594,14,0.434183,-nan,-nan,0.461893,-nan,-nan
0.282263,15,0.434230,-nan,-nan,0.481306,-nan,-nan
0.275903,15,0.435039,-nan,-nan,0.469758,-nan,-nan
0.265197,15,0.435695,-nan,-nan,0.460023,-nan,-nan
0.272430,15,0.434809,-nan,-nan,0.466260,-nan,-nan
0.285812,14,0.433677,-nan,-nan,0.486505,-nan,-nan
0.290643,16,0.434325,-nan,-nan,0.484583,-nan,-nan
0.291692,15,0.434176,-nan,-nan,0.489558,-nan,-nan
0.269539,15,0.435194,-nan,-nan,0.463641,-nan,-nan
