gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,170.275034,1065,2211840,13,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.269980,14,0.420005,-nan,-nan,0.450240,-nan,-nan
0.270953,14,0.422076,-nan,-nan,0.451603,-nan,-nan
0.275845,15,0.420088,-nan,-nan,0.456290,-nan,-nan
0.278627,14,0.421891,-nan,-nan,0.459268,-nan,-nan
0.261320,14,0.420458,-nan,-nan,0.442102,-nan,-nan
0.275444,14,0.420176,-nan,-nan,0.456999,-nan,-nan
0.283212,14,0.419809,-nan,-nan,0.468151,-nan,-nan
0.273247,13,0.419429,-nan,-nan,0.453402,-nan,-nan
0.273564,13,0.420370,-nan,-nan,0.454296,-nan,-nan
0.278776,14,0.418922,-nan,-nan,0.458887,-nan,-nan
0.279232,13,0.423579,-nan,-nan,0.459565,-nan,-nan
0.273620,15,0.421309,-nan,-nan,0.454044,-nan,-nan
0.296191,16,0.419128,-nan,-nan,0.478204,-nan,-nan
0.272793,9,0.419530,-nan,-nan,0.453015,-nan,-nan
0.282911,14,0.420328,-nan,-nan,0.463466,-nan,-nan
0.285019,10,0.421723,-nan,-nan,0.465422,-nan,-nan
0.265228,12,0.419749,-nan,-nan,0.453758,-nan,-nan
0.316225,13,0.419965,-nan,-nan,0.496750,-nan,-nan
0.273823,11,0.419921,-nan,-nan,0.461087,-nan,-nan
0.271042,13,0.419937,-nan,-nan,0.451575,-nan,-nan
