gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,170.860622,755,884736,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.114591,13,0.203052,-nan,-nan,0.203008,-nan,-nan
0.114063,15,0.185543,-nan,-nan,0.202477,-nan,-nan
0.111985,15,0.185299,-nan,-nan,0.200429,-nan,-nan
0.110822,14,0.185192,-nan,-nan,0.199233,-nan,-nan
0.117599,15,0.184860,-nan,-nan,0.206013,-nan,-nan
0.108453,14,0.185156,-nan,-nan,0.197402,-nan,-nan
0.115731,15,0.184838,-nan,-nan,0.204164,-nan,-nan
0.107802,13,0.184763,-nan,-nan,0.200826,-nan,-nan
0.112940,14,0.184986,-nan,-nan,0.201926,-nan,-nan
0.117605,13,0.184651,-nan,-nan,0.206009,-nan,-nan
0.113020,13,0.184976,-nan,-nan,0.201436,-nan,-nan
0.110520,13,0.185123,-nan,-nan,0.198975,-nan,-nan
0.106983,13,0.185482,-nan,-nan,0.197427,-nan,-nan
0.117521,13,0.184972,-nan,-nan,0.205940,-nan,-nan
0.112053,14,0.185432,-nan,-nan,0.200465,-nan,-nan
0.110890,14,0.184665,-nan,-nan,0.199868,-nan,-nan
0.117385,14,0.186080,-nan,-nan,0.205807,-nan,-nan
0.114805,14,0.184967,-nan,-nan,0.203248,-nan,-nan
0.112824,14,0.185132,-nan,-nan,0.201278,-nan,-nan
0.114051,14,0.185669,-nan,-nan,0.202470,-nan,-nan
