gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.248754,1060,2211840,8,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.287433,13,0.351674,-nan,-nan,0.398707,-nan,-nan
0.282144,14,0.349719,-nan,-nan,0.393488,-nan,-nan
0.270890,14,0.351744,-nan,-nan,0.382046,-nan,-nan
0.301349,13,0.352918,-nan,-nan,0.415514,-nan,-nan
0.266602,15,0.350271,-nan,-nan,0.377838,-nan,-nan
0.266336,15,0.348362,-nan,-nan,0.377312,-nan,-nan
0.285804,14,0.352592,-nan,-nan,0.397107,-nan,-nan
0.285184,15,0.350335,-nan,-nan,0.396535,-nan,-nan
0.280813,15,0.351642,-nan,-nan,0.392354,-nan,-nan
0.284228,15,0.350417,-nan,-nan,0.395611,-nan,-nan
0.283065,15,0.351047,-nan,-nan,0.393842,-nan,-nan
0.276444,15,0.349619,-nan,-nan,0.387636,-nan,-nan
0.274236,15,0.349614,-nan,-nan,0.385620,-nan,-nan
0.276723,15,0.350380,-nan,-nan,0.388115,-nan,-nan
0.289312,15,0.349431,-nan,-nan,0.400751,-nan,-nan
0.266724,12,0.350006,-nan,-nan,0.378538,-nan,-nan
0.276436,15,0.351036,-nan,-nan,0.388102,-nan,-nan
0.283276,15,0.352784,-nan,-nan,0.400643,-nan,-nan
0.276493,15,0.350492,-nan,-nan,0.387860,-nan,-nan
0.265595,15,0.349462,-nan,-nan,0.377034,-nan,-nan
