gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.135413,1111,2211840,3,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.269991,14,0.285630,-nan,-nan,0.311556,-nan,-nan
0.268011,14,0.280117,-nan,-nan,0.309594,-nan,-nan
0.270736,14,0.284002,-nan,-nan,0.312294,-nan,-nan
0.270728,14,0.281236,-nan,-nan,0.312301,-nan,-nan
0.267512,12,0.281837,-nan,-nan,0.310513,-nan,-nan
0.272177,13,0.280604,-nan,-nan,0.313840,-nan,-nan
0.264995,14,0.281259,-nan,-nan,0.306572,-nan,-nan
0.280185,14,0.282448,-nan,-nan,0.323530,-nan,-nan
0.262120,13,0.279976,-nan,-nan,0.304593,-nan,-nan
0.271394,14,0.280371,-nan,-nan,0.313077,-nan,-nan
0.266847,14,0.280098,-nan,-nan,0.309315,-nan,-nan
0.268165,14,0.280101,-nan,-nan,0.310121,-nan,-nan
0.265871,14,0.281166,-nan,-nan,0.308389,-nan,-nan
0.271767,14,0.282196,-nan,-nan,0.313385,-nan,-nan
0.268870,14,0.280075,-nan,-nan,0.310449,-nan,-nan
0.273675,14,0.279861,-nan,-nan,0.315245,-nan,-nan
0.269198,14,0.280085,-nan,-nan,0.310792,-nan,-nan
0.275470,14,0.280270,-nan,-nan,0.317057,-nan,-nan
0.286640,13,0.279914,-nan,-nan,0.329248,-nan,-nan
0.288133,14,0.280039,-nan,-nan,0.331678,-nan,-nan
