gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.578278,1090,2211840,5,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.276944,15,0.310955,-nan,-nan,0.346543,-nan,-nan
0.282884,15,0.308057,-nan,-nan,0.355417,-nan,-nan
0.267903,13,0.310259,-nan,-nan,0.338595,-nan,-nan
0.267490,14,0.309736,-nan,-nan,0.336577,-nan,-nan
0.275919,15,0.309929,-nan,-nan,0.345109,-nan,-nan
0.273903,13,0.307982,-nan,-nan,0.343605,-nan,-nan
0.271937,15,0.309038,-nan,-nan,0.341039,-nan,-nan
0.277428,15,0.310312,-nan,-nan,0.346517,-nan,-nan
0.276666,15,0.307732,-nan,-nan,0.345746,-nan,-nan
0.279661,15,0.309523,-nan,-nan,0.348751,-nan,-nan
0.272328,13,0.308545,-nan,-nan,0.341410,-nan,-nan
0.263111,14,0.308074,-nan,-nan,0.332199,-nan,-nan
0.274974,15,0.309630,-nan,-nan,0.344074,-nan,-nan
0.275408,15,0.307614,-nan,-nan,0.344492,-nan,-nan
0.275315,15,0.307975,-nan,-nan,0.347186,-nan,-nan
0.268722,13,0.309936,-nan,-nan,0.338565,-nan,-nan
0.267728,14,0.307899,-nan,-nan,0.336832,-nan,-nan
0.274543,14,0.308183,-nan,-nan,0.346200,-nan,-nan
0.267216,13,0.309104,-nan,-nan,0.336324,-nan,-nan
0.276549,15,0.308193,-nan,-nan,0.345634,-nan,-nan
