gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.674804,919,1548288,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.201533,14,0.322344,-nan,-nan,0.358947,-nan,-nan
0.202137,15,0.324802,-nan,-nan,0.357257,-nan,-nan
0.186921,13,0.325090,-nan,-nan,0.341632,-nan,-nan
0.203015,15,0.325185,-nan,-nan,0.370052,-nan,-nan
0.185180,14,0.327467,-nan,-nan,0.340328,-nan,-nan
0.194846,13,0.324611,-nan,-nan,0.349432,-nan,-nan
0.202235,14,0.324509,-nan,-nan,0.356878,-nan,-nan
0.186954,14,0.325181,-nan,-nan,0.341561,-nan,-nan
0.200220,15,0.324632,-nan,-nan,0.354887,-nan,-nan
0.197777,15,0.325083,-nan,-nan,0.352398,-nan,-nan
0.199758,15,0.324895,-nan,-nan,0.354398,-nan,-nan
0.198394,14,0.325172,-nan,-nan,0.353002,-nan,-nan
0.197331,14,0.323941,-nan,-nan,0.352002,-nan,-nan
0.210174,15,0.324084,-nan,-nan,0.365242,-nan,-nan
0.199664,12,0.324318,-nan,-nan,0.354052,-nan,-nan
0.193581,15,0.324396,-nan,-nan,0.348041,-nan,-nan
0.200590,16,0.324982,-nan,-nan,0.359332,-nan,-nan
0.193512,15,0.324095,-nan,-nan,0.347948,-nan,-nan
0.187446,14,0.324146,-nan,-nan,0.346443,-nan,-nan
0.199082,15,0.324500,-nan,-nan,0.353495,-nan,-nan
