gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.685997,1071,2211840,9,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.278088,13,0.369030,-nan,-nan,0.403950,-nan,-nan
0.278284,14,0.364771,-nan,-nan,0.402908,-nan,-nan
0.275416,14,0.366455,-nan,-nan,0.404274,-nan,-nan
0.282729,15,0.364496,-nan,-nan,0.407412,-nan,-nan
0.278349,14,0.364113,-nan,-nan,0.403188,-nan,-nan
0.279716,15,0.364597,-nan,-nan,0.404615,-nan,-nan
0.269989,14,0.364545,-nan,-nan,0.394632,-nan,-nan
0.275117,14,0.364769,-nan,-nan,0.399736,-nan,-nan
0.282386,15,0.364812,-nan,-nan,0.407264,-nan,-nan
0.275283,12,0.363333,-nan,-nan,0.400124,-nan,-nan
0.271391,13,0.364316,-nan,-nan,0.396263,-nan,-nan
0.274243,12,0.365819,-nan,-nan,0.400585,-nan,-nan
0.277261,13,0.364198,-nan,-nan,0.402147,-nan,-nan
0.271757,13,0.366032,-nan,-nan,0.399577,-nan,-nan
0.276339,14,0.364264,-nan,-nan,0.402903,-nan,-nan
0.267931,14,0.363600,-nan,-nan,0.392797,-nan,-nan
0.279225,15,0.366136,-nan,-nan,0.403881,-nan,-nan
0.267554,13,0.364199,-nan,-nan,0.392566,-nan,-nan
0.279794,15,0.365058,-nan,-nan,0.404302,-nan,-nan
0.270898,14,0.364695,-nan,-nan,0.395438,-nan,-nan
