gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.212517,1033,1990656,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.252825,15,0.417971,-nan,-nan,0.452296,-nan,-nan
0.250262,15,0.417635,-nan,-nan,0.450384,-nan,-nan
0.258945,13,0.416991,-nan,-nan,0.460100,-nan,-nan
0.236291,14,0.415858,-nan,-nan,0.436408,-nan,-nan
0.251506,15,0.419486,-nan,-nan,0.455097,-nan,-nan
0.253302,15,0.416130,-nan,-nan,0.452770,-nan,-nan
0.253688,14,0.417654,-nan,-nan,0.453100,-nan,-nan
0.244519,14,0.417281,-nan,-nan,0.443710,-nan,-nan
0.255102,14,0.416812,-nan,-nan,0.454615,-nan,-nan
0.261818,16,0.417297,-nan,-nan,0.461061,-nan,-nan
0.240633,14,0.417020,-nan,-nan,0.440239,-nan,-nan
0.257583,15,0.417737,-nan,-nan,0.458554,-nan,-nan
0.258658,14,0.417272,-nan,-nan,0.459964,-nan,-nan
0.249689,15,0.418179,-nan,-nan,0.449226,-nan,-nan
0.252524,15,0.416854,-nan,-nan,0.457902,-nan,-nan
0.262629,16,0.415872,-nan,-nan,0.462520,-nan,-nan
0.254131,15,0.418088,-nan,-nan,0.453807,-nan,-nan
0.247742,14,0.416154,-nan,-nan,0.446491,-nan,-nan
0.265707,15,0.416682,-nan,-nan,0.465026,-nan,-nan
0.255927,15,0.415746,-nan,-nan,0.454625,-nan,-nan
