gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,175.934204,1100,2211840,4,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.278441,14,0.297154,-nan,-nan,0.334257,-nan,-nan
0.280216,14,0.294806,-nan,-nan,0.336035,-nan,-nan
0.280652,15,0.295449,-nan,-nan,0.336468,-nan,-nan
0.278810,15,0.294277,-nan,-nan,0.334706,-nan,-nan
0.273289,14,0.296011,-nan,-nan,0.336463,-nan,-nan
0.278940,13,0.293201,-nan,-nan,0.338202,-nan,-nan
0.275509,14,0.298493,-nan,-nan,0.331653,-nan,-nan
0.277268,14,0.294463,-nan,-nan,0.333101,-nan,-nan
0.273416,14,0.296145,-nan,-nan,0.328841,-nan,-nan
0.274015,14,0.295691,-nan,-nan,0.329480,-nan,-nan
0.264203,14,0.294064,-nan,-nan,0.320083,-nan,-nan
0.279003,15,0.296734,-nan,-nan,0.334969,-nan,-nan
0.266931,14,0.293610,-nan,-nan,0.322813,-nan,-nan
0.271673,14,0.294269,-nan,-nan,0.327552,-nan,-nan
0.279362,15,0.298710,-nan,-nan,0.335247,-nan,-nan
0.277375,15,0.297837,-nan,-nan,0.333257,-nan,-nan
0.276084,15,0.296299,-nan,-nan,0.331993,-nan,-nan
0.279751,14,0.294054,-nan,-nan,0.335756,-nan,-nan
0.281903,13,0.295823,-nan,-nan,0.343621,-nan,-nan
0.278864,14,0.294741,-nan,-nan,0.334752,-nan,-nan
