gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.413270,810,1105920,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.147805,15,0.233475,-nan,-nan,0.262782,-nan,-nan
0.138192,14,0.230919,-nan,-nan,0.249739,-nan,-nan
0.144883,13,0.231256,-nan,-nan,0.256064,-nan,-nan
0.144549,13,0.230650,-nan,-nan,0.255030,-nan,-nan
0.150102,14,0.232259,-nan,-nan,0.262278,-nan,-nan
0.137239,14,0.231591,-nan,-nan,0.249986,-nan,-nan
0.138990,13,0.230900,-nan,-nan,0.249457,-nan,-nan
0.134728,13,0.231934,-nan,-nan,0.247012,-nan,-nan
0.129584,14,0.232097,-nan,-nan,0.243711,-nan,-nan
0.139865,14,0.234528,-nan,-nan,0.250333,-nan,-nan
0.134088,15,0.231237,-nan,-nan,0.245615,-nan,-nan
0.142356,15,0.231636,-nan,-nan,0.252825,-nan,-nan
0.138258,15,0.231742,-nan,-nan,0.248717,-nan,-nan
0.142738,15,0.231123,-nan,-nan,0.253246,-nan,-nan
0.141900,15,0.230763,-nan,-nan,0.252382,-nan,-nan
0.141347,15,0.231992,-nan,-nan,0.251829,-nan,-nan
0.138506,15,0.232494,-nan,-nan,0.248965,-nan,-nan
0.140648,15,0.231675,-nan,-nan,0.251684,-nan,-nan
0.141540,13,0.232035,-nan,-nan,0.255136,-nan,-nan
0.136313,14,0.231351,-nan,-nan,0.246790,-nan,-nan
