gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.226788,1051,2211840,7,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.268080,15,0.339283,-nan,-nan,0.371015,-nan,-nan
0.279120,16,0.335749,-nan,-nan,0.383187,-nan,-nan
0.271544,15,0.335652,-nan,-nan,0.368472,-nan,-nan
0.276037,16,0.337948,-nan,-nan,0.372970,-nan,-nan
0.275409,16,0.335363,-nan,-nan,0.372347,-nan,-nan
0.297178,16,0.335849,-nan,-nan,0.394586,-nan,-nan
0.275306,16,0.335580,-nan,-nan,0.372075,-nan,-nan
0.276335,16,0.336353,-nan,-nan,0.373025,-nan,-nan
0.276479,14,0.336012,-nan,-nan,0.378208,-nan,-nan
0.271403,15,0.336346,-nan,-nan,0.368111,-nan,-nan
0.269379,15,0.336738,-nan,-nan,0.366070,-nan,-nan
0.265175,15,0.335810,-nan,-nan,0.362652,-nan,-nan
0.276792,15,0.336480,-nan,-nan,0.374161,-nan,-nan
0.274596,15,0.335714,-nan,-nan,0.371963,-nan,-nan
0.271050,15,0.337468,-nan,-nan,0.368917,-nan,-nan
0.274954,15,0.337758,-nan,-nan,0.372431,-nan,-nan
0.267643,15,0.335633,-nan,-nan,0.365001,-nan,-nan
0.268440,15,0.335691,-nan,-nan,0.365922,-nan,-nan
0.283912,14,0.337229,-nan,-nan,0.383562,-nan,-nan
0.287998,15,0.335663,-nan,-nan,0.385206,-nan,-nan
