gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,175.266064,1085,2211840,1,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.294988,17,0.255368,-nan,-nan,0.309157,-nan,-nan
0.287236,16,0.253007,-nan,-nan,0.301395,-nan,-nan
0.292284,17,0.253383,-nan,-nan,0.306425,-nan,-nan
0.282865,16,0.252776,-nan,-nan,0.297031,-nan,-nan
0.285605,16,0.251545,-nan,-nan,0.299530,-nan,-nan
0.270513,16,0.253029,-nan,-nan,0.284652,-nan,-nan
0.270225,16,0.252018,-nan,-nan,0.284404,-nan,-nan
0.278090,15,0.251413,-nan,-nan,0.292405,-nan,-nan
0.270303,14,0.257127,-nan,-nan,0.284749,-nan,-nan
0.267840,15,0.253062,-nan,-nan,0.281828,-nan,-nan
0.273364,16,0.252661,-nan,-nan,0.287308,-nan,-nan
0.278713,14,0.252773,-nan,-nan,0.292886,-nan,-nan
0.275667,16,0.253690,-nan,-nan,0.289808,-nan,-nan
0.276983,16,0.252783,-nan,-nan,0.290898,-nan,-nan
0.277218,16,0.252812,-nan,-nan,0.291146,-nan,-nan
0.273238,16,0.253081,-nan,-nan,0.287405,-nan,-nan
0.296492,17,0.252746,-nan,-nan,0.310407,-nan,-nan
0.273968,16,0.251884,-nan,-nan,0.287887,-nan,-nan
0.273471,16,0.252439,-nan,-nan,0.287386,-nan,-nan
0.272850,16,0.252880,-nan,-nan,0.286796,-nan,-nan
